Food class level 1,Metrics,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels
,Country,Finland,Finland,France,France,Germany,Germany,Italy,Italy,Netherlands,Netherlands,Sweden,Sweden,United Kingdom,United Kingdom
,Food (FoodEx2 description),Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram
,Legume (beans) soup,1.8,325.3895,27.12,265.711,11.2,320.509,27.12,265.711,11.07,516.749,1.7,304.3795,11,162.43
,Legumes based dishes,10.3,711.5157,7.93,396.211,23,194.267,7.93,396.211,23,662.72,10.3,711.5157,23,662.72
,Meat and vegetable soup,9.4,412.3632,11.84,161.202,9.3,115.908,11.84,161.202,9.24,189.655,9.4,412.3632,9.24,290.742
,Meat balls,23.3,432.696,21.1,517.918,21.5,674.69,21.1,517.918,16.99,900.763,3.1,518.716,19.6,477.973
,Meat burger (no sandwich),40.1,441.7184,25.5,674.69,25.5,674.69,25.5,674.69,22.52,492.325,40.1,441.7184,26,640.74
,Meat in aspic,0.6,511.75,0,14.529,0.6,511.75,0,14.529,0,14.529,0.6,511.75,0.6,511.75
,Meat loaf,35.6,734.0324,33.4,334.168,33.4,334.168,33.4,334.168,33,552.5,,,33,552.5
,"Meat loaf with cheese, vegetables or other",27.8,430.9994,27.8,356.062,27.8,356.062,27.8,356.062,27.8,356.062,27.8,430.9994,27.8,356.062
,Meat soup,9.1,264.0936,7.26,68.538,8.1,176.644,7.26,107.011,8.24,191.489,9.1,264.0936,8,181.254
,Meat stew,30.1,210.2277,25.2,376.635,26.4,231.056,25.2,376.635,26.8,375.6,30.1,210.2277,26.8,375.6
,Meat terrine,50,348.997,49.1,444.435,50,348.997,49.1,444.435,49.1,444.435,50,348.997,50,348.997
,Mixed green salad,107.13,318.238,107.2,228.878,107,338.447,107,392.348,107,402.045,107,338.447,107,227.658
,Mixed vegetable salad,31.3,377.2699,31.31,305.306,31.1,354.981,31,395.55,31,402.947,31.3,377.2699,31.2,318.92
,Mixed vegetables soup,19.4,242.3616,20.8,240.822,19.4,253.697,20.8,240.822,19,96.912,19.4,242.3616,19,162.56
,"Mixed vegetables, boiled",0.6,188.51,25.3,325.019,26,236.498,25.3,325.019,26,336.997,0.4,311.35,26,241.354
,"Mixed vegetables, braised",25.7,398.225,25.7,337.158,25.7,398.225,25.7,337.158,25.7,337.158,25.7,398.225,25.7,398.225
,"Mixed vegetables, fried",26.5,511.2847,26.74,353.177,26.6,372.076,26.74,353.177,26.6,325.765,26.5,511.2847,26.6,325.765
,"Mixed vegetables, grilled",,,26.4,324.391,26.4,418.513,26.4,324.391,26.4,324.391,,,26.4,418.513
,Moussaka,10.7,452.7574,8,889.85,8.9,383.836,8,889.85,8.8,476.78,,,8.8,476.78
,Mushroom based dishes,37.9,409.942,19.7,453.677,19.7,453.677,19.7,453.677,19.1,464.956,37.9,409.942,19.1,464.956
,Mushroom salad,31.7,366.0603,10.82,383.028,10.8,445.097,10.82,383.028,10.82,383.028,31.7,366.0603,10.8,445.097
,Mushroom soup,5.8,239.7345,1.71,146.992,2,160.315,1.71,86.098,1,53.842,1.48,190.9395,2,121.765
,Omelette with bacon,20.6,437.617,19.96,500.583,20.6,437.617,19.96,500.583,19.96,500.583,20.6,437.617,20.6,437.617
,Omelette with mushrooms,23.7,494.462,23.18,408.065,23.7,494.462,23.18,408.065,23.18,408.065,23.7,494.462,23.7,494.462
,Omelette with vegetables,29.5,514.0875,22.23,457.63,15.4,395.558,22.23,457.63,15.9,359.96,,,15.9,359.96
,"Omelette, plain",35.7,405.2683,23.09,386.816,21.8,436.923,23.09,386.816,22.2,362.73,35.7,405.2683,22.2,362.73
,Onion soup,1.2,215.1855,2,65.456,0,36.58,2,71.862,0,94.727,0,40.7355,0,145.19
,Paella,18.2,259.3741,13.26,262.148,13.5,227.653,13.26,262.148,13.26,262.148,18.2,259.3741,13.5,227.653
,Pasta based dishes (cooked),15.6,314.1915,15.3,424.697,15.3,424.697,15.3,424.697,15.3,424.697,15.6,314.1915,15.3,424.697
,"Pasta based dishes (cooked), PROCESS Baking",,,5.28,461.59,5.28,461.59,5.28,461.59,5.28,461.59,,,5.28,461.59
,"Pasta based dishes (cooked), PROCESS Cooking in water",,354.5,,354.5,,354.5,,354.5,,354.5,,354.5,,354.5
,"Pasta based dishes (cooked), PROCESS Steaming",,354.5,,354.5,,354.5,,354.5,,354.5,,354.5,,354.5
,"Pasta-based dishes, uncooked",0,565.63,0,565.63,0,565.63,0,565.63,0,565.63,0,565.63,0,565.63
,"Pasta-based dishes, uncooked, PROCESS Baking",1.6,130.065,1.6,130.065,1.6,130.065,1.6,130.065,1.6,130.065,1.6,130.065,1.6,130.065
,"Pasta-based dishes, uncooked, PROCESS Cooking in water",1.29,611.12,14.6,443.43,3.6,130.445,14.6,443.43,3.21,326.321,1.29,611.12,3.21,354.08
,"Pasta-based dishes, uncooked, PROCESS Steaming",1.29,611.12,3.6,130.445,3.6,130.445,3.6,130.445,3.21,326.321,1.29,611.12,3.21,354.5
,"Pasta, cooked, with cheese/cream",,,3.11,229.674,3.8,654.631,3.11,229.674,3.11,229.674,3.8,654.631,3.8,654.631
,"Pasta, cooked, with vegetables",,,8,150.355,8.2,175.345,8,150.355,8,150.355,,,8.2,175.345
,"Pasta, cooked, with vegetables and cheese/cream",1,166.982,1,166.982,1,166.982,1,166.982,1,166.982,1,166.982,1,166.982
,"Pasta, filled with meat mix, cooked",0,565.63,0,565.63,0,565.63,0,565.63,0,565.63,0,565.63,0,565.63
,"Pasta, filled with meat mix, cooked, PROCESS Baking",1.6,130.065,1.6,130.065,1.6,130.065,1.6,130.065,1.6,130.065,1.6,130.065,1.6,130.065
,"Pasta, filled with meat mix, cooked, PROCESS Cooking in water",8.3,297.3619,3.6,130.112,3.6,130.112,3.6,130.112,3.21,325.044,1.3,215.7749,3.21,325.044
,"Pasta, filled with meat mix, cooked, PROCESS Steaming",3.6,130.112,3.6,130.112,3.6,130.112,3.6,130.112,3.21,325.044,3.6,130.112,3.21,325.044
,"Pasta, filled with vegetable mix, cooked",0,481.045,0,481.045,0,481.045,0,481.045,0,481.045,0,481.045,0,481.045
,"Pasta, filled with vegetable mix, cooked, PROCESS Cooking in water",8.4,345.2058,2.21,354.5,2.21,354.5,2.21,354.5,2.21,326.321,,,2.21,354.5
,"Pasta, filled with vegetable mix, cooked, PROCESS Steaming",2.21,354.5,2.21,354.5,2.21,354.5,2.21,354.5,2.21,326.321,2.21,354.5,2.21,354.5
,Pastas and rice (or other cereal) �based dishes,1.3,172.859,1.3,172.859,1.3,172.859,1.3,172.859,1.3,172.859,1.3,172.859,1.3,172.859
,"Pastas and rice (or other cereal) �based dishes, PROCESS Baking",,436.39,,436.39,,436.39,,,,436.39,,436.39,,436.39
,"Pastas and rice (or other cereal) �based dishes, PROCESS Cooking in water",,156.38,,156.38,,156.38,,,,156.38,,156.38,,156.38
,"Pastas and rice (or other cereal) �based dishes, PROCESS Steaming",,342.27,,342.27,,342.27,,,,342.27,,342.27,,342.27
,Pizza and similar with cheese topping,,,0.28,576.91,7.6,806.402,0.28,216.1,2.08,449.332,,,7.2,644.2
,"Pizza and similar with cheese, and mushrooms",,,6.2,367.109,6.2,367.109,6.2,367.109,6.08,449.365,,,6.08,449.365
,"Pizza and similar with cheese, and vegetables",,,6.1,287.371,6.1,287.371,6.1,287.371,6.08,449.332,,,6.08,577.99
,"Pizza and similar with cheese, meat, and mushrooms",,,2,2.675,5.2,364.036,2,2.675,5.13,378.377,,,5.13,378.377
,"Pizza and similar with cheese, meat, and vegetables",,,9.03,565.49,6.5,589.759,9.03,565.49,6.13,378.377,6.29,564.68,6.5,688.59
,"Pizza and similar with meat, and vegetables",5.29,492.497,5.2,364.036,5.2,364.036,5.2,364.036,5.13,378.377,5.29,492.497,5.13,378.377
,Poached eggs,21.5,405.387,22.28,410.658,21.5,405.387,22.28,410.658,21,407.74,21.5,405.387,21,407.74
,Pork meat loaf,22.4,696.027,22.4,696.027,22.4,696.027,22.4,696.027,22.4,696.027,22.4,696.027,22.4,696.027
,Potato casserole,6.5,648.3817,4.2,397.162,4.2,397.162,4.2,397.162,4,411.884,6.5,648.3817,4,411.884
,Potato croquettes,6.7,626.6738,4,293.995,8.2,395.916,4,293.995,4,483.57,8.24,474.9828,4,476.326
,Potato soup,2.4,361.762,3.81,230.523,2,143.068,3.81,230.523,2.2,241.7,2.4,361.762,2.2,241.7
,Potatoes and cheese meal,6.9,824.9339,4.17,383.884,5.4,616.188,4.17,383.884,5.6,443.93,,,5.6,443.93
,Potatoes and meat meal,7.1,505.1795,5.62,315.152,4.4,434.767,5.62,315.152,4.4,324.699,2.2,497.7295,4.4,324.699
,Potatoes and vegetables meal,9.4,241.4726,11.3,432.162,11.3,432.162,11.3,432.162,11.4,453.656,9.4,241.4726,11.4,453.656
,"Potatoes, meat, and vegetables meal",4,400.1916,6.2,482.567,6.2,482.567,6.2,482.567,5.6,388.089,1.4,439.2126,5.6,388.089
,Prepared fish salad,,3,9.45,377.758,39.2,550.863,9.45,377.758,41.78,462.306,,3,41.78,462.306
,Prepared legume (beans) salad,,0.3,20,300.434,22,241.509,20,300.434,22,327.86,,0.3,22,327.86
,Prepared meat salad,14,373.8321,7,301.956,9.3,194.846,7,301.956,9.37,373.534,,,9.37,373.534
,Prepared mixed egg/meat/fish/vegetable salad,,,32.2,294.502,32.2,294.502,32.2,294.502,32.2,294.502,,,32.2,294.502
,Prepared nut salad,14.3,343.7322,14,247.156,14,247.156,14,247.156,14,416.35,14.3,343.7322,14,416.35
,Prepared pasta salad,11.4,285.2269,11.53,285.323,11.4,207.663,11.53,285.323,11.53,285.323,,,11.4,207.663
,Prepared potato salad,6.6,555.0419,6,342.73,7.1,379.362,6,342.73,7.6,297.063,6.6,555.0419,7.3,262.144
,Prepared rice salad,19.5,368.3856,10,330.16,10,215.986,10,330.16,10,330.16,19.5,368.3856,10,215.986
,Quiche,23.3,488.466,24.195,327.973,23.3,488.466,24.195,327.973,24.65,496.021,23.3,488.466,24.5,697.98
,Ratatouille,9.4,402.7355,11.2,320.678,10,251.25,11.2,320.678,10,348.299,,,10,348.299
,Rice and meat meal,,,10.1,189.87,10.1,189.87,10.1,189.87,9.16,161.211,,,10.3,341.89
,Rice and vegetables meal,,,16,172.24,16,172.24,16,172.24,13.16,160.811,,,16,407.76
,"Rice based dishes cooked, PROCESS Baking",,337.75,,337.75,,337.75,,,,337.75,,337.75,,337.75
,"Rice based dishes cooked, PROCESS Cooking in water",,,4,330.66,4,330.66,4,330.66,4,330.66,,,4,330.66
,"Rice based dishes cooked, PROCESS Steaming",,,3.54,163.538,3.54,163.538,3.54,163.538,3.54,163.538,,,3.54,163.538
,Rice pudding,4.6,300.0997,2.08,263.824,2.2,254.677,2.08,263.824,2.2,317.94,,,2.2,317.94
,"Rice, meat, and vegetables meal",,,5.54,163.038,6,188.726,5.54,163.038,6.16,160.251,,,6.16,160.251
,Risotto,3.8,125.8614,3.7,36.618,3.7,36.618,3.7,36.618,3.7,377.678,3.8,125.8614,3.7,377.678
,Roesti,2.8,710.6822,2.27,705.873,2.37,374.224,2.27,705.873,2.27,349.212,,,2.27,349.212
,Sandwich and sandwich-like dishes,9.5,304.42,9.69,413.749,9.5,304.42,9.69,413.749,9.69,413.749,9.5,304.42,9.5,304.42
,Sandwich with cheese and vegetable topping/filling,11.6,411.3332,12.4,1126.927,12.4,1126.927,12.4,1126.927,12.4,1126.927,11.6,411.3332,12.4,1126.927
,Sandwich with cheese topping/filling,23.1,774.7619,10.16,442.895,10.4,658.624,10.16,442.895,10.7,662.99,8.72,850.4749,10.7,662.99
,Sandwich with fish and vegetable topping/filling,32.27,420.172,14.01,325.508,30.6,592.415,14.01,325.508,14.01,325.508,32.27,420.172,30.6,592.415
,Sandwich with fish topping/filling,,,14.01,325.508,38,592.415,14.01,325.508,38.4,395.86,,,38.4,395.86
,Sandwich with meat and vegetable topping/filling,29.5,401.9386,12.92,313.341,13.8,441.183,12.92,313.341,12.2,388.18,29.5,401.9386,12.2,388.18
,Sandwich with processed meat topping/filling,12.9,360.9251,8.4,577.184,11.4,351.767,8.4,577.184,11.2,444.35,12.9,360.9251,11.2,444.35
,Sausage roll,7.8,319.945,7.8,319.945,7.8,319.945,7.8,319.945,7.8,319.945,7.8,319.945,7.8,319.945
,Seafood salad,34.1,418.114,45.8,429.803,45.8,429.803,45.8,429.803,47.78,465.131,,,58,427.23
,Seafood-based meals,,,5.6,444.58,24.8,364.804,5.6,444.58,25.7,537.848,14.51,355.017,25.7,537.848
,Spring rolls,15.2,125.282,19.72,278.029,17.3,322.783,19.72,278.029,17.17,302.275,,,17.17,231.59
,Tomato soup,0.5,199.5982,3.99,216.068,3,35.154,3.99,34.324,3,54.697,0.2,170.0782,3,237.77
,Vegetable casserole,26.4,574.3737,21.1,280.469,21.1,280.469,21.1,280.469,21,411.71,26.4,574.3737,21,411.71
,Vegetable souffl�,,,83.7,455.468,83.7,455.468,83.7,455.468,83.7,455.468,83.7,455.468,83.7,455.468
,"Vegetables, gratinated",86.6,633.89,84.92,345.112,85.7,455.468,84.92,345.112,85.4,453.712,,,85.4,453.712
Eggs and egg products,Boiled eggs,57.4,420.3,23.11,387.358,21.5,407.411,23.11,387.358,30.54,479.524,54.32,392.56,21.1,407.73
,Duck eggs,5.4,534.33,5.4,417.563,5.4,417.563,5.4,407.423,5.4,534.33,5.4,534.33,5.4,479.14
,"Duck eggs, PROCESS Cooking in water",4.3,396.489,4.3,396.489,4.3,396.489,4.3,396.489,4.3,396.489,4.3,396.489,4.3,396.489
,Eggs from other eggs producer birds,89.6,542.379,89.6,433.58,89.6,433.58,89.6,412.93,89.6,433.56,89.6,433.58,89.6,433.56
,"Eggs from other eggs producer birds, PROCESS Cooking in water",4.1,481.179,4.1,481.179,4.1,481.179,4.1,481.179,4.1,481.179,4.1,481.179,4.1,481.179
,Geese eggs,5.1,505.215,5.1,507.185,5.1,507.185,5.1,487.956,5.1,505.215,5.1,505.215,5.1,507.185
,"Geese eggs, PROCESS Cooking in water",4.1,481.179,4.1,481.179,4.1,481.179,4.1,481.179,4.1,481.179,4.1,481.179,4.1,481.179
,Hen egg mixed whole,28.1,419.6,14.66,377.27,25.63,428.846,7.59,412.62,18.92,455.489,53.9,399.37,18.77,455.489
,"Hen egg mixed whole, dried",92.55,1622.516,97,1515.278,97,1515.278,51.6,1711.598,53.2,1803.18,92.55,1622.516,53.2,1803.18
,Hen egg white,15.1,165.49,6.156,181.943,6.1,202.127,3.256,173.12,6.65,179.52,20.1,171.43,6.1,203.103
,"Hen egg white, dried",49.18,1407.317,49.5,1361.792,49.5,1361.792,49.5,1361.792,49.18,1407.317,49.18,1407.317,50,1658.9
,Hen egg yolk,53.9,833.13,30.3,709.298,34,906.738,13.6,823.058,25.22,900.67,143.48,811.72,27.77,784.298
,"Hen egg yolk, dried",5.33,1485.321,6.2,1731.833,6.2,1731.833,6.2,1731.833,5.33,1485.321,5.33,1485.321,6.2,1731.833
,Hen eggs,28.2,419.6,14.66,377.27,25.63,428.846,7.59,412.62,18.92,455.489,57.4,419.6,13.78,407.87
,"Hen eggs, PROCESS Cooking in water",36.2,419.77,23.11,387.362,21.5,406.881,23.11,387.362,30.54,479.094,36.2,419.77,21,407.74
,"Hen eggs, PROCESS Frying",27.7,436.6135,16.12,403.652,13.6,470.31,16.12,403.652,29.1,434.283,27.7,436.6135,13.6,470.31
,Quail eggs,35.5,420.84,35.8,428.813,35.8,428.813,35.8,428.813,35.8,464.285,35.5,420.84,35.8,464.285
,"Quail eggs, PROCESS Cooking in water",10.5,406.744,10.5,406.744,10.5,406.744,10.5,406.744,10.5,406.744,10.5,406.744,10.5,406.744
"Fish, seafood, amphibians, reptiles and invertebrates",Amphibians and Reptiles,14.1,505.09,14.1,505.09,14.1,505.09,14.1,505.09,14.1,505.09,14.1,505.09,14.1,505.09
,Anchovies,68,402.96,26.9,517.361,20.6,664.547,26.9,675.419,23.5,548.345,68,402.96,20.6,664.547
,"Anchovies, PROCESS Baking",0.6,708.376,0.6,708.376,0.6,708.376,0.6,708.376,0.6,708.376,0.6,708.376,0.6,708.376
,"Anchovies, PROCESS Cooking in water",20,423.627,20.6,688.331,20.6,688.331,20.6,688.331,20.6,688.331,20,423.627,20.6,688.331
,"Anchovies, PROCESS Frying",0.6,709.979,0.6,709.979,0.6,709.979,0.6,709.979,0.6,709.979,0.6,709.979,0.6,709.979
,"Anchovies, PROCESS Steaming",0.6,688.331,0.6,688.331,0.6,688.331,0.6,688.331,0.6,688.331,0.6,688.331,0.6,688.331
,Anglerfish and monkfish,42.3,619.5,39,511.565,39,511.565,38,619.857,39,665.55,39,511.565,39,665.55
,"Anglerfish and monkfish, PROCESS Baking",2.1,534.246,2.1,534.246,2.1,534.246,2.1,534.246,2.1,960.565,2.1,534.246,2.1,960.565
,"Anglerfish and monkfish, PROCESS Cooking in water",2.1,532.863,2.1,532.863,2.1,532.863,2.1,532.863,2.1,532.863,2.1,532.863,2.1,532.863
,"Anglerfish and monkfish, PROCESS Frying",2.1,532.863,2.1,532.863,2.1,532.863,2.1,532.863,2.1,532.863,2.1,532.863,2.1,532.863
,"Anglerfish and monkfish, PROCESS Steaming",2.1,532.863,2.1,532.863,2.1,532.863,2.1,532.863,2.1,532.863,2.1,532.863,2.1,532.863
,Atlantic salmon,2.57,0.13,,,36.1,666.943,27.33,658.191,30,694.65,,0.08,30,673.05
,"Atlantic salmon, PROCESS Baking",37.77,688.747,35.2,688.953,35.2,688.953,35.2,688.953,21.02,867.183,35.2,688.747,36,803.93
,"Atlantic salmon, PROCESS Cooking in water",2.57,0.11,31.9,659.121,31.9,659.121,31.9,659.121,25.99,866.502,31.9,658.928,32,727.678
,"Atlantic salmon, PROCESS Curing",2.57,,,,,,,,,,31,568.6,,
,"Atlantic salmon, PROCESS Frying",37.32,751.4801,32.5,689.555,32.5,689.555,32.5,689.555,32.5,689.555,32,751.4801,32.5,689.555
,"Atlantic salmon, PROCESS Preserving with salt",32.57,685.89,29.6,657.019,29.6,657.019,,,29.6,685.129,30,685.89,29.6,657.019
,"Atlantic salmon, PROCESS Steaming",2.57,0.11,22.05,705.941,31.9,659.121,22.05,705.941,25.99,866.502,31.9,658.928,32,727.678
,"Atlantic salmon, PROD Farmed / cultivated / aquaculture",2.57,,27.33,549.635,,,,,,,,,,
,"Atlantic salmon, STATE Primal cuts / fillets / halves or quarters",33.96,685.87,,,,,,,,,,,,
,Barracudas,2,508.383,2,508.383,2,508.383,2,508.383,2,508.383,2,508.383,2,508.383
,"Barracudas, PROCESS Baking",11.6,706.798,11.6,706.798,11.6,706.798,11.6,706.798,11.6,706.798,11.6,706.798,11.6,706.798
,"Barracudas, PROCESS Cooking in water",11.5,701.712,11.5,701.712,11.5,701.712,11.5,701.712,11.5,701.712,11.5,701.712,11.5,701.712
,"Barracudas, PROCESS Frying",11.6,706.798,11.6,706.798,11.6,706.798,11.6,706.798,11.6,706.798,11.6,706.798,11.6,706.798
,"Barracudas, PROCESS Steaming",11.5,701.712,11.5,701.712,11.5,701.712,11.5,701.712,11.5,701.712,11.5,701.712,11.5,701.712
,Bogue,,442,,442,,442,,442,,442,,442,,442
,"Bream, silver",2,573.19,2,573.19,2,573.19,2,573.19,2,573.19,2,573.19,2,573.19
,Canned/jarred fish in brine-deprecated,,,28.84,137.99,26.2,572.778,28.84,479.764,29,614.2,,,83,456.7
,"Canned/jarred fish in brine-deprecated, RACSOURCE Atlantic salmon",,,,,,,29.6,697.421,,,,,,
,Canned/jarred fish in oil-deprecated,47,865.22,31.8,1321.82,74.4,549.698,31.8,564.67,95,563.82,47,865.22,96,531.69
,"Canned/jarred fish in vinegar, pickles or sauces-deprecated",70.2,566.088,50,347.47,75.4,630.668,50,347.47,34.4,775.85,70.2,566.088,39,618.73
,Canned/jarred smoked fish in oil-deprecated,42.9,612.089,37,777.545,42.9,612.089,37,777.545,37,777.545,42.9,612.089,42.9,612.089
,Carps,4.5,783.695,4.5,783.695,4.5,783.695,4.5,602.984,4.5,783.695,4.5,783.695,4.5,783.695
,"Carps, PROCESS Baking",24.8,828.883,24.7,785.02,24.8,828.883,24.7,785.02,24.7,785.02,24.8,828.883,24.8,828.883
,"Carps, PROCESS Cooking in water",4.5,799.08,4.5,799.08,4.5,799.08,4.5,799.08,4.5,799.08,4.5,799.08,4.5,799.08
,"Carps, PROCESS Frying",4.7,847.196,4.7,847.196,4.7,847.196,4.7,847.196,4.7,847.196,4.7,847.196,4.7,847.196
,"Carps, PROCESS Steaming",4.5,799.08,4.5,799.08,4.5,799.08,4.5,799.08,4.5,799.08,4.5,799.08,4.5,799.08
,Catfishes (freshwater),,,59.6,672.4,59.6,672.4,59.6,579.97,59.7,531.815,,,59.5,516.56
,"Catfishes (freshwater), PROCESS Baking",,,2.3,714.02,2.3,714.02,2.3,714.02,2.3,714.02,,,2.3,714.02
,"Catfishes (freshwater), PROCESS Cooking in water",,,2.3,707.89,2.3,707.89,2.3,707.89,3,625.85,,,3,625.85
,"Catfishes (freshwater), PROCESS Frying",,,2.3,714.02,2.3,714.02,2.3,714.02,2.3,714.02,,,2.3,714.02
,"Catfishes (freshwater), PROCESS Steaming",,,2.3,707.89,2.3,707.89,2.3,707.89,3,625.85,,,3,625.85
,Clams,2,595.468,2,595.468,2,595.468,2,595.468,2,595.468,2,595.468,2,595.468
,"Clams, cockles, arkshells",22.9,380.678,1.8,571.47,52.8,551.611,1.8,571.47,52.8,634.91,52.8,551.611,52.8,634.91
,"Clams, cockles, arkshells, PROCESS Baking",8.7,585.318,8.7,585.318,8.7,585.318,8.7,585.318,8.7,585.318,8.7,585.318,8.7,585.318
,"Clams, cockles, arkshells, PROCESS Cooking in water",,,31.4,632.189,51,550.983,31.4,632.189,65,435.72,51,550.983,65,435.72
,"Clams, cockles, arkshells, PROCESS Frying",8.7,585.318,8.7,585.318,8.7,585.318,8.7,585.318,8.7,585.318,8.7,585.318,8.7,585.318
,"Clams, cockles, arkshells, PROCESS Steaming",,,50.6,510.167,50.6,510.167,50.6,510.167,65,435.72,50.6,510.167,65,435.72
,"Clams, PROCESS Baking",8.7,585.318,8.7,585.318,8.7,585.318,8.7,585.318,8.7,585.318,8.7,585.318,8.7,585.318
,"Clams, PROCESS Cooking in water",59.8,549.383,91.3,440.22,59.8,549.383,91.3,440.22,91.3,440.22,59.8,549.383,59.8,549.383
,"Clams, PROCESS Frying",8.7,585.318,8.7,585.318,8.7,585.318,8.7,585.318,8.7,585.318,8.7,585.318,8.7,585.318
,"Clams, PROCESS Steaming",7.6,508.7,7.6,508.7,7.6,508.7,7.6,508.7,7.6,508.7,7.6,508.7,7.6,508.7
,Cockles,41,346.1,41,346.1,41,346.1,41,346.1,41,346.1,41,346.1,41,346.1
,"Cockles, PROCESS Cooking in water",90,421.48,90,421.48,90,421.48,90,421.48,90,421.48,90,421.48,90,421.48
,"Cockles, PROCESS Steaming",90,421.48,90,421.48,90,421.48,90,421.48,90,421.48,90,421.48,90,421.48
,Cod,28,556.353,,,,,17.53,569.065,38,496.306,28,556.353,29,558.53
,Cod liver,73.5,278.75,35.6,276.66,73.5,254.9,35.6,276.66,73.5,278.75,73.5,278.75,73.5,254.9
,Cod roe,17.7,804.066,9,704.56,9,704.56,9,704.56,17.7,804.636,17.7,804.176,11,513.367
,"Cod roe, PROCESS Smoking",53.2,770.104,,0.25,,0.25,,0.87,53.2,770.404,53.2,770.164,,0.74
,"Cod, atlantic",,,32.03,408.038,,,,,,,,,,
,"Cod, murray",29.81,584.19,29.81,584.19,29.81,584.19,29.81,584.19,29.81,584.19,29.81,584.19,29.81,584.19
,"Cod, murray, PROCESS Cooking in water",0,3.67,0,3.67,0,3.67,0,3.67,0,3.67,0,3.67,0,3.67
,"Cod, murray, PROCESS Frying",,1.07,,1.07,,1.07,,1.07,,1.07,,1.07,,1.07
,"Cod, murray, PROCESS Steaming",0,3.67,0,3.67,0,3.67,0,3.67,0,3.67,0,3.67,0,3.67
,"Cod, PROCESS Boiling",,100,,100,,100,,100,,100,,100,53.2,329.048
,"Cod, PROCESS Drying (dehydration)",,100,,100,,100,53.2,750.776,,100,,100,,100
,"Cod, PROCESS Preserving with salt",,,53.2,696.591,53.2,696.591,,,,,,,,
,"Cod, STATE Slices, steaks or other flat cuts",,,,,30.2,594.372,,,,,,,,
,"Cods, hakes, haddocks",0,0.1,,0.05,,,,,,0.1,,0.1,,0.09
,"Cods, hakes, haddocks, PROCESS Baking",35.3,628.625,24.4,595.58,35.3,628.625,24.4,595.58,36,584.78,35.3,628.625,36,584.78
,"Cods, hakes, haddocks, PROCESS Cooking in water",32,637.629,30.6,637.414,31.2,597.823,30.6,637.414,39,722.19,31.2,597.823,32,638.18
,"Cods, hakes, haddocks, PROCESS Frying",38.3,628.728,38.3,628.761,38.3,628.761,38.3,628.761,39,533.693,38.3,628.761,39,533.693
,"Cods, hakes, haddocks, PROCESS Steaming",31.2,597.823,30.6,637.414,31.2,597.823,30.6,637.414,33.4,655.844,31.2,597.823,32,638.18
,Conger,1,674.382,1,674.382,1,674.382,1,674.382,1,674.382,1,674.382,1,674.382
,"Conger, european",1,674.782,1,674.782,1,674.782,1,674.782,3,619.48,1,674.782,3,619.48
,"Conger, european, PROCESS Baking",1.1,708.977,1.1,708.977,1.1,708.977,1.1,708.977,4,739.9,1.1,708.977,4,739.9
,"Conger, european, PROCESS Cooking in water",31.1,698.259,31.1,698.259,31.1,698.259,31.1,698.259,34,501.869,31.1,698.259,34,501.869
,"Conger, european, PROCESS Frying",1.1,707.494,1.1,707.494,1.1,707.494,1.1,707.494,1.1,707.494,1.1,707.494,1.1,707.494
,"Conger, european, PROCESS Steaming",31.1,698.259,31.1,698.259,31.1,698.259,31.1,698.259,34,501.869,31.1,698.259,34,501.869
,"Conger, PROCESS Baking",1.1,707.494,1.1,707.494,1.1,707.494,1.1,707.494,1.1,707.494,1.1,707.494,1.1,707.494
,"Conger, PROCESS Cooking in water",31.1,698.259,31.1,698.259,31.1,698.259,31.1,698.259,34,501.869,31.1,698.259,34,501.869
,"Conger, PROCESS Frying",1.1,707.494,1.1,707.494,1.1,707.494,1.1,707.494,1.1,707.494,1.1,707.494,1.1,707.494
,"Conger, PROCESS Steaming",31.1,698.259,31.1,698.259,31.1,698.259,31.1,698.259,34,501.869,31.1,698.259,34,501.869
,"Crabmeat, cooked-deprecated",12.29,159.28,47.3,655.18,84.8,698.097,47.3,279.085,26,413.37,12.29,269.28,84,535.46
,"Crabs, sea-spiders",82,567.7,82.8,664.925,82.8,664.925,46,694.17,95.5,567.62,82,567.7,82.8,664.925
,"Crabs, sea-spiders, PROCESS Baking",0.9,711.522,0.9,712.349,0.9,711.522,0.9,711.522,0.9,711.522,0.9,711.522,0.9,712.349
,"Crabs, sea-spiders, PROCESS Cooking in water",50,379.49,67.1,697.505,84.8,697.547,67.1,696.905,60,717.88,50,379.49,84.8,784.087
,"Crabs, sea-spiders, PROCESS Frying",0.8,693.911,0.8,694.741,0.8,693.911,0.8,693.911,0.8,693.911,0.8,693.911,0.8,694.741
,"Crabs, sea-spiders, PROCESS Steaming",50,379.49,84.8,696.647,84.8,698.347,84.8,698.347,60,717.88,50,379.49,84.8,784.087
,Cuttlefishes,67,681.4,68,761.43,67,681.4,68,488.33,68,481.69,67,681.4,67,681.4
