Food class level 1,Metrics,Concentration levels,Concentration levels,Concentration levels,Concentration levels
,Country,Sweden,Sweden,United Kingdom,United Kingdom
,Food (FoodEx2 description),Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram
,Escaroles and similar-,1,238.896,1,505.283
,"Escaroles and similar-, PROCESS Baking",2.2,328.076,2.2,328.076
,"Escaroles and similar-, PROCESS Cooking in water",0,259.321,0,259.321
,"Escaroles and similar-, PROCESS Steaming",0,259.321,0,259.321
,Fennel leaves,790.1,930.803,0.1,500.483
,Florence fennels,1,529.34,0,499.75
,"Florence fennels, PROCESS Baking",1,547.073,5.9,546.903
,"Florence fennels, PROCESS Cooking in water",0,319.902,4.9,349.395
,"Florence fennels, PROCESS Steaming",0,477.999,4.9,349.444
,Garden cress sprouts,0,218.54,0,218.54
,"Garden cress sprouts, PROCESS Steaming",0,563.748,0,563.748
,Garden sorrel,0.1,52.407,0,435.442
,Garlic and similar-,0.5,805.1,2,839.843
,"Garlic and similar-, PROCESS Baking",0.5,266.959,0.5,791.374
,"Garlic and similar-, PROCESS Cooking in water",0,498.471,0,498.471
,"Garlic and similar-, PROCESS Steaming",0,707.904,0,707.904
,Garlic puree,2,498.471,2,421.125
,Gherkins,13.58,353.61,13,299.31
,Globe artichokes,,0.06,1,464.42
,"Globe artichokes, PROCESS Cooking in water",1,451.408,0.07,443.921
,"Globe artichokes, PROCESS Steaming",0.07,587.354,0.07,443.921
,Grape leaves,109,521.505,109,831.354
,"Grape leaves, PROCESS Cooking in water",121,701.205,121,701.205
,"Grape leaves, PROCESS Steaming",121,701.205,121,701.205
,Head cabbages,45,371.7,61,373.36
,Head cabbages and similar-,45.5,417.72,61,373.36
,"Head cabbages and similar-, PROCESS Baking",47.293,323.009,64.793,402.37
,"Head cabbages and similar-, PROCESS Cooking in water",47,,66.5,183.28
,"Head cabbages and similar-, PROCESS Frying",1.7,439.7023,1.7,439.7023
,"Head cabbages and similar-, PROCESS Steaming",,,2,183.28
,"Head cabbages, PROCESS Baking",49.1,589.491,66.6,403.283
,"Head cabbages, PROCESS Cooking in water",49,226.828,66.5,183.28
,"Head cabbages, PROCESS Frying",,,,
,"Head cabbages, PROCESS Steaming",,,2,183.28
,Hijiki,0,425.35,0,425.35
,"Hijiki, PROCESS Cooking in water",0,253.667,0,253.667
,"Hijiki, PROCESS Steaming",0,253.667,0,253.667
,Honey mushroom,0,573.409,0,573.409
,"Honey mushroom, PROCESS Cooking in water",0,518.76,0,518.76
,"Honey mushroom, PROCESS Steaming",0,518.76,0,518.76
,Horseradish roots,0.2,985.53,0,811.06
,"Horseradish roots, PROCESS Cooking in water",0,734.007,0,734.007
,"Horseradish roots, PROCESS Steaming",0.2,822.02,0.2,734.007
,Jerusalem artichokes,0.4,684.76,0.4,592.36
,"Jerusalem artichokes, PROCESS Baking",0,724.91,0,536.004
,"Jerusalem artichokes, PROCESS Cooking in water",0.7,494.724,0.7,496.615
,"Jerusalem artichokes, PROCESS Steaming",0.7,494.724,0.7,496.615
,Kales and similar-,817.3,423.136,819,682.427
,"Kales and similar-, PROCESS Baking",0,440.466,0,440.466
,"Kales and similar-, PROCESS Cooking in water",721,466.529,721,362.929
,"Kales and similar-, PROCESS Steaming",721,466.529,721,362.929
,Kohlrabies,0.5,442.156,8,417.79
,"Kohlrabies, PROCESS Baking",8.5,266.959,8.5,524.651
,"Kohlrabies, PROCESS Cooking in water",,,8,298.95
,"Kohlrabies, PROCESS Steaming",,,1,297.93
,Lamb's lettuces,,,0.9,522.128
,Land cresses,0,849.187,0,472.62
,Laurel,310.9,668.983,0.9,130.484
,Laver,0,492.562,0,492.562
,"Laver, PROCESS Cooking in water",0,284.655,0,284.655
,"Laver, PROCESS Steaming",0,284.655,0,284.655
,Leeks,0.5,290.637,48,334.66
,"Leeks, PROCESS Baking",52.8,448.262,52.8,448.222
,"Leeks, PROCESS Cooking in water",48,282.665,48,206.39
,"Leeks, PROCESS Steaming",49.371,432.699,50,206.39
,Lentil sprouts,5,227.18,5,227.18
,"Lentil sprouts, PROCESS Steaming",33,298.95,33,298.95
,"Lentils, fresh",127,1471.131,127,1495.72
,"Lentils, fresh, PROCESS Baking",15.1,334.531,15.1,334.531
,"Lentils, fresh, PROCESS Cooking in water",8,464.377,8,503.657
,"Lentils, fresh, PROCESS Steaming",8,464.377,8,503.657
,Lettuces (generic),,,130,284.16
,Lovage leaves,0,636.467,0,636.467
,Mashed vegetable puree,0.1,264.76,0,1270.53
,Melons and similar-,0.3,246,1,229.43
,Mints,0.5,593.253,0.5,593.253
,Morels,14.1,435.653,1,296.533
,"Morels, PROCESS Baking",6.47,475.053,6.47,539.42
,"Morels, PROCESS Cooking in water",0,539.42,0,539.42
,"Morels, PROCESS Steaming",0,706.16,0,706.16
,Mung bean sprouts,1,241.067,6,163.43
,"Mung bean sprouts, PROCESS Cooking in water",1,119.52,1,119.52
,"Mung bean sprouts, PROCESS Steaming",1,119.52,1,119.52
,Mushy peas,0.9,184.643,0.9,310.061
,Nasturtium flowers and leaves,250,559.948,250,559.948
,Okra,5.243,362.033,6,623.83
,"Okra, PROCESS Cooking in water",6,357.39,6,543.904
,"Okra, PROCESS Steaming",6,357.39,6,543.904
,Onions,0,266.717,2,221.2
,Onions and similar-,1.5,305.74,2,221.2
,"Onions and similar-, PROCESS Baking",4,251.789,4,621.221
,"Onions and similar-, PROCESS Cooking in water",,,1,129.432
,"Onions and similar-, PROCESS Frying",0.6,314.8314,2,471.73
,"Onions and similar-, PROCESS Steaming",,,0,129.62
,"Onions, PROCESS Baking",2.3,595.776,4,621.221
,"Onions, PROCESS Cooking in water",1,153.112,1,129.432
,"Onions, PROCESS Frying",,0,2,471.73
,"Onions, PROCESS Steaming",0,129.61,0,129.62
,Palm hearts,0,519.24,0,519.24
,"Palm hearts, PROCESS Cooking in water",0.7,477.125,0.7,477.125
,"Palm hearts, PROCESS Steaming",33,299.144,0,477.142
,Parsley,0.5,1157.413,549,1060.343
,Parsley roots,0.1,736.477,0.1,526.813
,Parsnip roots,0,686.39,3,591.8
,"Parsnip roots, PROCESS Baking",0.3,305.347,0.3,305.347
,"Parsnip roots, PROCESS Cooking in water",1.4,775.3429,1.3,502.21
,"Parsnip roots, PROCESS Frying",0.3,305.347,0.3,305.347
,"Parsnip roots, PROCESS Steaming",1.4,775.3429,1.3,502.21
,Pearl oyster mushrooms,1.3,436.125,3,422.093
,"Pearl oyster mushrooms, PROCESS Baking",2.2,214.316,2.2,214.316
,"Pearl oyster mushrooms, PROCESS Cooking in water",0.1,239.064,0.1,239.064
,"Pearl oyster mushrooms, PROCESS Steaming",0.1,326.063,0.1,326.063
,Peas (with pods) and similar-,0.4,436.924,0.4,287.957
,"Peas (with pods) and similar-, PROCESS Cooking in water",0,293.731,0,236.638
,"Peas (with pods) and similar-, PROCESS Frying",,0.15,0.2,411.445
,"Peas (with pods) and similar-, PROCESS Steaming",0,420.435,0,237.07
,Peas shoots and sprouts,7,345.387,7,345.387
,Pickled / marinated vegetables,0.1,209.761,7,104.379
,Pumpkins,5,300.71,5,190.61
,"Pumpkins, PROCESS Baking",6.2,418.368,6.2,418.368
,"Pumpkins, PROCESS Cooking in water",5.2,122.321,5.2,130.828
,"Pumpkins, PROCESS Steaming",5.2,344.101,5.2,131.31
,Purslanes,0.1,46.27,381.9,1067.29
,Purslanes and similar-,381.9,676.79,381.9,1067.29
,Radish sprouts,0,430.61,0,430.61
,"Radish sprouts, PROCESS Cooking in water",0,239.67,0,239.67
,"Radish sprouts, PROCESS Steaming",0,282.678,0,282.678
,Radishes and similar-,0.1,369.043,2,285.44
,"Radishes and similar-, PROCESS Cooking in water",0,458.548,0,458.548
,"Radishes and similar-, PROCESS Steaming",0,539.954,0,458.765
,Red mustard leaves,560.1,655.828,566,383.155
,Rhubarbs,0.5,450.347,11,414.15
,"Rhubarbs, PROCESS Cooking in water",13,344.399,13,291.007
,"Rhubarbs, PROCESS Steaming",13,470.699,13,291.007
,Roman rocket,0.3,631.9,250.3,830.516
,Roman rocket and similar-,250,631.44,250,830.516
,Rosemary,4,421.889,4,743.939
,Sage,3,529.885,3,1190.814
,Salsifies,0.4,477.18,0,416.7
,"Salsifies, PROCESS Cooking in water",0,360.518,0,289.433
,"Salsifies, PROCESS Steaming",0,393.068,0,289.433
,Sauerkraut,1.3,391.6241,,
,"Sauerkraut, PROCESS Baking",28,434.068,28,434.068
,"Sauerkraut, PROCESS Cooking in water",0,345.053,31,265.25
,"Sauerkraut, PROCESS Steaming",31,267.87,31,265.25
,Shallots,1,438.36,1,260.96
,"Shallots, PROCESS Baking",8.2,262.883,8.2,262.883
,"Shallots, PROCESS Cooking in water",0,230.936,0,230.936
,"Shallots, PROCESS Frying",1,284.548,1,284.548
,Shiitake,0.4,314.394,0.3,169.664
,"Shiitake, PROCESS Baking",0,168.21,0,168.21
,"Shiitake, PROCESS Cooking in water",0,152.389,0,152.389
,"Shiitake, PROCESS Frying",3.3,298.87,3.3,298.87
,"Shiitake, PROCESS Steaming",0,152.389,0,152.389
,Sorrel,0.9,435.442,0.9,435.442
,Soyabeans sprouts,0,367.557,0,367.557
,"Soyabeans sprouts, PROCESS Cooking in water",0,324.097,0,324.097
,"Soyabeans sprouts, PROCESS Steaming",0,324.097,0,324.097
,Spinaches,0.5,770.09,382,775.78
,Spinaches and similar-,381.3,652.98,382,775.78
,"Spinaches and similar-, PROCESS Baking",420,866.202,420,866.202
,"Spinaches and similar-, PROCESS Cooking in water",428,528.707,428,514.584
,"Spinaches and similar-, PROCESS Steaming",403,761.247,403,514.733
,"Spinaches, PROCESS Baking",0.1,52.666,420,866.01
,"Spinaches, PROCESS Cooking in water",428,561.759,428,514.624
,"Spinaches, PROCESS Steaming",0.1,52.534,403,514.773
,Spirulina,0,573.21,0,314.694
,Spring onions,1,409.12,1,343.887
,"Spring onions, PROCESS Baking",0,447.236,0,447.236
,"Spring onions, PROCESS Cooking in water",0,310.306,0,432.959
,"Spring onions, PROCESS Frying",0.1,301.83,0.1,301.83
,"Spring onions, PROCESS Steaming",0,432.535,0,432.535
,"Sprouts, shoots and similar",,,6,163.43
,"Sprouts, shoots and similar, PROCESS Cooking in water",1,324.097,1,122.479
,"Sprouts, shoots and similar, PROCESS Steaming",1,211.249,1,122.479
,Sun-dried tomatoes,27.67,1132.263,30,601.852
,"Sunflower shoots and sprouts, PROCESS Steaming",0.9,460.69,0.9,460.69
,Swedes,0,300.35,6,274.1
,"Swedes, PROCESS Baking",5,273.091,5,273.091
,"Swedes, PROCESS Cooking in water",,,6,128.49
,"Swedes, PROCESS Steaming",,,6,128.49
,Sweet corn,3.4,400.973,3.4,395.49
,Sweet corn canned,16.268,500.353,3.268,329.735
,"Sweet corn, PROCESS Baking",3.8,436.65,3.8,436.65
,"Sweet corn, PROCESS Cooking in water",0.5,307.78,3,362.8
,"Sweet corn, PROCESS Steaming",0.5,307.78,3,362.8
,Sweet peppers,5.2,296.547,5,207.493
,"Sweet peppers, PROCESS Baking",5.2,290.463,5.2,301.689
,"Sweet peppers, PROCESS Cooking in water",6,200.872,6,232.201
,"Sweet peppers, PROCESS Frying",,,,200.38
,"Sweet peppers, PROCESS Steaming",6,305.13,6,232.473
,Tarragon,0,727.212,0,727.212
,Thyme,4.6,899.78,0.4,1063.803
,Tigernuts,0,277.33,0,277.33
,"Tigernuts, PROCESS Steaming",0,116.498,0,116.498
,Tomato puree,0.4,86.933,0,1362.83
,Tomatoes and similar-,0.5,256.17,6,291.17
,"Tomatoes and similar-, PROCESS Baking",7.6,450.848,7.6,344.69
,"Tomatoes and similar-, PROCESS Cooking in water",0.5,279.577,7,281.582
,"Tomatoes and similar-, PROCESS Steaming",6,267.08,6,293.399
,Truffles,2.2,646.7,2.2,646.7
,Turnips,0.1,406.9,3,378.523
,"Turnips, PROCESS Baking",2.6,312.619,2.6,312.619
,"Turnips, PROCESS Cooking in water",,,3,283.321
,"Turnips, PROCESS Steaming",,,3,283.321
,Vietnamese mint,5.5,4111.579,5.5,4111.579
,Wakame,0,425.35,0,425.35
,"Wakame, PROCESS Cooking in water",0,253.667,0,253.667
,"Wakame, PROCESS Steaming",0,253.667,0,253.667
,Watercresses,0.1,376.447,315.3,472.62
,Watercresses and similar-,250.9,560.015,250.9,472.62
,Watermelons,0,145.168,0.25,125.08
,White ginger,38.5,1814.211,38.5,1814.211
,Winter savory,0,614.038,0,614.038
,Witloofs,0,264.819,0,225.403
,"Witloofs, PROCESS Baking",2.2,290.994,2.2,290.994
,"Witloofs, PROCESS Cooking in water",0,170.603,0,161.635
,"Witloofs, PROCESS Steaming",0,254.758,0,161.687
Water and water-based beverages,Bottled drinking water,0.1,25.702,0,7
,"Cola beverages, caffeinic",0.1,19.905,0,38.01
,"Cola beverages, decaffeinated",0,17.045,0,3
,"Cola mix, flavoured cola",0.1,18.274,0.1,18.274
,Cola-type drinks,0.1,38.058,0,38.01
,Diet soft drink with caffeine,0,22.088,0,25.01
,Diet soft drinks with flavours,0,15.517,0,7.2
,Diet soft drinks with fruit juice,0.1,0.042,0,15.042
,Energy drinks,0,12.4008,0.4,33.66
,Filtered tap water,0,8.005,0,0
,Flavoured bottled water,4.1,31.381,4.1,31.381
,"Flavoured bottled water, FORT Combination of vitamin and mineral only supplements",4,89.881,4,89.881
,"Flavoured bottled water, FORT Mineral only supplements",4,33.881,4,18.231
,"Flavoured bottled water, FORT Vitamin only supplements",4,89.881,4,89.881
,Fortified bottled water,,16,4,18.251
,"Fruit soft drink, currant red",3,88.684,3,22.12
,"Fruit soft drink, gooseberry",0,22,0,22
,"Fruit soft drink, grape red",2,72.516,2,22.089
,"Fruit soft drink, grape white",2,72.516,2,22.089
,"Fruit soft drink, grapefruit",0,21.548,0,22.026
,"Fruit soft drink, mixed fruit",0,55,0,43
,"Fruit soft drink, orange",0,21.548,0,22.026
,"Fruit soft drink, pear",0,22,0,22
,"Fruit soft drink, pineapple",0,22,0,22
,"Fruit soft drink, plum",0,22,0,22
,"Fruit soft drink, raspberry",0,22,0,22
,Isotonic and sport drinks,2.1,21.304,2,16.102
,Liquid drink bases (including concentrates and home-made preparations),2,130.474,2,67.58
,Natural mineral water,,,0,9
,Powdered drink bases,0,227.71,0,227.71
,Soft drink with bitter principle,0,22.455,0,1
,"Soft drink, apple flavour",0,3,0,3
,"Soft drink, cherry flavour",0,3,0,3
,"Soft drink, flavoured with herbs",0,3,0,3
,"Soft drink, flavoured, no fruit",0,9.63,0,7.101
,"Soft drink, lemon flavour",0.1,5.602,0,6
,"Soft drink, lime flavour",0,22.474,0,3
,"Soft drink, mixed flavours",0,9.453,0,15.001
,"Soft drink, orange flavour",0,22.474,0,3
,"Soft drink, with fruit juice (fruit content below the minimum for nectars)",0.001,29.068,0,43.026
,Tap water,0,5.3,0,7
